Feature,Importance
amt,0.4301591846265177
hour,0.09839497048853227
age,0.067306693842008
category_grocery_pos,0.057033944965757775
unix_time,0.03304899071704462
city_pop,0.03174908358395622
merch_long,0.03011809777075812
merch_lat,0.029259051926585247
distance,0.026896727465630644
lat,0.02387755001329498
long,0.023768581932059076
day,0.02060950184209095
category_gas_transport,0.019110338784735486
category_shopping_net,0.013767153523660081
month,0.013262317276938133
category_misc_net,0.012694082243801516
day_of_week,0.011974920416500561
category_misc_pos,0.010711830261250315
gender_F,0.007701202080899775
category_shopping_pos,0.007410773385842522
gender_M,0.007183542167168646
category_travel,0.006599646431942065
category_entertainment,0.005931517907301721
category_home,0.003687817518630946
category_food_dining,0.0018288338132662577
category_grocery_net,0.0017750379369230772
category_kids_pets,0.0016117885951933638
category_health_fitness,0.0012853608849834417
category_personal_care,0.0012414575967265957
